,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,27-12-2015,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany
1,20-12-2015,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
2,13-12-2015,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
3,06-12-2015,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
4,29-11-2015,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany
5,22-11-2015,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
6,15-11-2015,0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany
7,08-11-2015,0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany
8,01-11-2015,1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany
9,25-10-2015,1.07,74338.76,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany
10,18-10-2015,1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany
11,11-10-2015,1.28,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,conventional,2015,Albany
12,04-10-2015,1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany
13,27-09-2015,0.99,106803.39,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,conventional,2015,Albany
14,20-09-2015,1.33,69759.01,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0,conventional,2015,Albany
15,13-09-2015,1.28,76111.27,985.73,65696.86,142,9286.68,8665.19,621.49,0,conventional,2015,Albany
16,06-09-2015,1.11,99172.96,879.45,90062.62,240.79,7990.1,7762.87,227.23,0,conventional,2015,Albany
17,30-08-2015,1.07,105693.84,689.01,94362.67,335.43,10306.73,10218.93,87.8,0,conventional,2015,Albany
18,23-08-2015,1.34,79992.09,733.16,67933.79,444.78,10880.36,10745.79,134.57,0,conventional,2015,Albany
19,16-08-2015,1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0,conventional,2015,Albany
20,09-08-2015,1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,109.55,0,conventional,2015,Albany
21,02-08-2015,1.45,75133.1,509.94,62035.06,741.08,11847.02,11768.52,78.5,0,conventional,2015,Albany
22,26-07-2015,1.11,106757.1,648.75,91949.05,966.61,13192.69,13061.53,131.16,0,conventional,2015,Albany
23,19-07-2015,1.26,96617,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0,conventional,2015,Albany
24,12-07-2015,1.05,124055.31,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany
25,05-07-2015,1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0,conventional,2015,Albany
